,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lagoa,39.05,-27.9833,291.06,76,100,8.35,PT,1666491111
1,Bulawayo,-20.15,28.5833,293.32,50,88,5.04,ZW,1666491111
2,Tuatapere,-46.1333,167.6833,291.37,47,100,2.92,NZ,1666491112
3,Ushuaia,-54.8,-68.3,280.96,66,100,1.03,AR,1666491091
4,Saint Paul Harbor,57.79,-152.4072,276.88,87,100,4.12,US,1666491112
5,Mahébourg,-20.4081,57.7,293.85,94,40,2.06,MU,1666491112
6,Jamestown,42.097,-79.2353,289.92,50,0,2.57,US,1666490996
7,Port Blair,11.6667,92.75,299.17,89,75,4.12,IN,1666491113
8,Port Elizabeth,-33.918,25.5701,289.44,94,1,1.34,ZA,1666490984
9,Sitka,57.0531,-135.33,280.09,81,75,2.57,US,1666491113
10,Hobart,-42.8794,147.3294,286.99,62,75,8.75,AU,1666491020
11,Yumen,40.2833,97.2,284.48,25,4,1.39,CN,1666491034
12,Pevek,69.7008,170.3133,266.07,95,100,3.94,RU,1666491114
13,Bluff,-46.6,168.3333,288.31,57,100,4.36,NZ,1666491114
14,Cape Town,-33.9258,18.4232,291.99,73,37,5.81,ZA,1666490867
15,Altamont,42.2068,-121.7372,277.03,71,75,4.12,US,1666491115
16,Phonhong,18.5007,102.4166,297.99,84,69,0.62,LA,1666491116
17,Puerto Baquerizo Moreno,-0.9,-89.6,293.01,80,82,4.65,EC,1666491116
18,Kaeo,-35.1,173.7833,290.54,52,0,3.33,NZ,1666491116
19,Osuna,37.2377,-5.1075,291.99,61,100,1.74,ES,1666491117
20,Goderich,43.7501,-81.7165,289.77,72,0,7.94,CA,1666491117
21,Albany,42.6001,-73.9662,285.74,60,88,1.0,US,1666490620
22,Talcahuano,-36.7167,-73.1167,283.97,87,20,3.09,CL,1666491117
23,Esperance,-33.8667,121.9,291.48,50,1,6.16,AU,1666491118
24,Nacala,-14.5428,40.6728,294.89,90,57,2.17,MZ,1666491118
25,Hermanus,-34.4187,19.2345,291.37,86,100,5.76,ZA,1666491119
26,Geraldton,-28.7667,114.6,294.5,62,81,4.1,AU,1666491119
27,Puerto Maldonado,-12.6,-69.1833,294.92,96,100,1.18,PE,1666491120
28,Poya,-21.35,165.15,296.09,88,100,3.25,NC,1666491120
29,New Norfolk,-42.7826,147.0587,286.8,74,100,1.79,AU,1666491121
30,Sukumo,32.9333,132.7333,296.99,61,5,3.18,JP,1666491121
31,Tilichiki,60.4667,166.1,265.18,82,41,2.62,RU,1666491122
32,Tasiilaq,65.6145,-37.6368,273.24,95,99,3.75,GL,1666491122
33,Elban,50.1018,136.5094,277.41,45,99,1.4,RU,1666491122
34,Klaksvík,62.2266,-6.589,279.66,79,100,7.43,FO,1666491123
35,San Policarpo,12.1791,125.5072,301.62,81,60,3.16,PH,1666491123
36,Las Cruces,32.3123,-106.7783,297.57,41,0,5.66,US,1666491046
37,Dikson,73.5069,80.5464,268.92,88,98,6.08,RU,1666491124
38,Bredasdorp,-34.5322,20.0403,290.76,91,98,5.69,ZA,1666491125
39,Atar,20.5169,-13.0499,301.34,13,0,2.58,MR,1666491125
40,Ust'-Shonosha,61.1531,41.343,275.37,85,99,5.0,RU,1666491126
41,Maniitsoq,65.4167,-52.9,274.93,98,100,9.84,GL,1666491126
42,Luanda,-8.8368,13.2343,298.15,83,75,4.12,AO,1666491126
43,Hilo,19.7297,-155.09,301.08,73,20,3.6,US,1666491127
44,Fairbanks,64.8378,-147.7164,273.76,94,100,0.0,US,1666490960
45,Kayes,14.0,-11.0,299.95,62,100,1.75,ML,1666491127
46,Amarante do Maranhão,-5.5667,-46.7422,295.75,90,77,1.39,BR,1666491128
47,Bethel,41.3712,-73.414,285.34,83,0,0.89,US,1666491078
48,Busselton,-33.65,115.3333,290.44,66,100,1.03,AU,1666491128
49,Rawlins,41.7911,-107.2387,285.09,40,100,6.69,US,1666491067
50,Sicuani,-14.2694,-71.2261,285.79,54,91,2.51,PE,1666491129
51,Tigil',57.8,158.6667,272.42,72,42,2.23,RU,1666491129
52,La Ronge,55.1001,-105.2842,274.89,70,25,1.39,CA,1666491130
53,Punta Arenas,-53.15,-70.9167,279.21,87,75,2.57,CL,1666490940
54,Karata,42.5949,46.3393,275.45,69,0,1.76,RU,1666491130
55,Jinji,23.2281,110.8261,302.19,35,7,3.43,CN,1666491131
56,George Town,5.4112,100.3354,300.31,84,40,1.54,MY,1666491131
57,Ust'-Kut,56.7938,105.7672,275.79,84,100,2.24,RU,1666491132
58,Saint-Donat-de-Montcalm,46.3187,-74.2219,281.83,84,0,1.85,CA,1666491132
59,Katherine,-14.4667,132.2667,311.79,19,51,2.86,AU,1666491133
60,Salalah,17.0151,54.0924,296.97,73,0,0.66,OM,1666491133
61,Vestmannaeyjar,63.4427,-20.2734,279.0,79,100,8.45,IS,1666491133
62,Clyde River,70.4692,-68.5914,266.17,91,99,3.09,CA,1666491134
